Date/Time,Word Count,ca-ES,en,es-ES
2026.05.21-23.24.46,772,0,772,0
2026.05.28-19.24.29,955,452,955,0
2026.06.02-15.45.15,977,949,977,0
2026.06.02-15.51.57,977,967,977,0
2026.06.02-16.18.38,977,967,977,172
2026.06.02-16.25.53,977,967,977,313
2026.06.02-16.49.00,977,967,977,417
2026.06.02-17.11.16,977,967,977,635
2026.06.02-17.28.25,977,967,977,791
2026.06.02-17.41.42,977,967,977,963
2026.06.02-17.47.57,977,967,977,972
2026.06.02-17.51.53,977,971,977,972
2026.06.02-17.53.12,977,977,977,972
2026.06.02-17.55.10,977,977,977,977
2026.06.03-11.43.41,996,977,996,977
2026.06.03-11.53.52,996,996,996,996
2026.06.03-13.02.14,1000,996,1000,996
2026.06.03-13.11.01,1000,1000,1000,1000
2026.06.03-13.28.24,1000,999,1000,999
2026.06.03-13.55.41,1000,1000,1000,1000
2026.06.03-15.34.25,1022,1000,1022,1000
2026.06.03-16.00.46,1022,1022,1022,1022
2026.06.03-16.40.48,1024,1019,1024,1019
2026.06.03-17.31.01,1026,1021,1026,1021
2026.06.03-17.45.44,1021,851,1021,851
2026.06.03-17.49.25,1021,1007,1021,1007
